Ort;X;Y
Gewicht;0.5;0.5
O1;13;-3
O2;9;2
O3;12;-1
O4;7;1
O5;12;2
O6;12;3
O7;10;-4
O8;12;0
O9;8;3
O10;11;2
O11;11;4
O12;10;4
O13;9;2
O14;14;1
O15;10;4
O16;14;0
O17;9;-4
O18;13;-1
O19;10;4
O20;12;1
O21;-12;0
O22;-10;-3
O23;-12;4
O24;-13;0
O25;-12;-1
O26;-10;2
O27;-8;0
O28;-12;2
O29;-8;4
O30;-13;-3
O31;-12;0
O32;-8;1
O33;-7;0
O34;-7;0
O35;-8;4
O36;-7;0
O37;-14;0
O38;-7;-1
O39;-6;-1
O40;-10;-2
O41;-4;8
O42;1;12
O43;0;7
O44;2;10
O45;0;7
O46;1;7
O47;1;13
O48;3;9
O49;4;12
O50;0;7
O51;0;7
O52;3;13
O53;0;8
O54;2;8
O55;-1;8
O56;-2;12
O57;1;13
O58;0;7
O59;2;10
O60;-2;9
O61;-3;-9
O62;1;-7
O63;-3;-13
O64;4;-12
O65;1;-8
O66;0;-14
O67;4;-10
O68;-4;-11
O69;2;-14
O70;-3;-9
O71;2;-6
O72;-1;-12
O73;0;-12
O74;4;-9
O75;2;-11
O76;2;-14
O77;2;-9
O78;2;-6
O79;3;-11
O80;-3;-13
O81;0;1
O82;-1;0
O83;-3;0
O84;0;-2
O85;-1;3
O86;0;1
O87;0;1
O88;-2;0
O89;3;1
O90;-1;1
O91;1;-3
O92;0;2
O93;-2;-1
O94;-2;1
O95;1;0
O96;-2;2
O97;1;-1
O98;-1;2
O99;1;0
O100;-3;0
